"All Employer-Insured Plans, Drug Claims Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance Prescriptions,Unclassified,Avg. Unclassified Prescriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,200","8,088 ",$645.56,"$2,149.32",$126.59,4.23,$140.58,1.08,$80.39,0.45,$6.35,0.01,$202.28,3.639,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,300","7,556 ",$660.61,"$2,249.10",$129.37,4.29,$146.11,1.11,$84.14,0.46,$6.84,0.01,$210.70,3.714,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,400","7,247 ",$675.09,"$2,349.68",$132.20,4.34,$151.58,1.14,$87.84,0.48,$7.47,0.02,$218.91,3.786,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,500","6,832 ",$689.02,"$2,449.11",$134.83,4.39,$156.93,1.17,$91.52,0.49,$8.15,0.02,$226.62,3.852,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,600","6,555 ",$702.43,"$2,549.02",$137.52,4.45,$162.24,1.19,$95.11,0.51,$8.77,0.02,$234.46,3.919,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,700","6,164 ",$715.35,"$2,649.68",$140.09,4.50,$167.25,1.22,$98.75,0.52,$9.42,0.02,$241.84,3.981,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,800","5,960 ",$727.81,"$2,749.69",$142.56,4.54,$172.33,1.25,$102.29,0.53,$10.12,0.02,$249.02,4.040,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,900","5,428 ",$739.82,"$2,848.70",$144.82,4.59,$177.02,1.27,$105.78,0.55,$10.78,0.02,$256.19,4.099,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,000","5,282 ",$751.42,"$2,950.00",$147.11,4.63,$181.63,1.29,$109.20,0.56,$11.50,0.02,$263.17,4.155,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,100","5,054 ",$762.63,"$3,049.50",$149.39,4.67,$186.25,1.32,$112.70,0.57,$12.28,0.02,$269.97,4.209,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,200","4,678 ",$773.45,"$3,148.91",$151.53,4.71,$190.64,1.34,$115.90,0.58,$12.97,0.02,$276.57,4.261,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,300","4,609 ",$783.93,"$3,249.66",$153.70,4.75,$195.04,1.36,$119.04,0.59,$13.75,0.02,$283.06,4.311,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,400","4,441 ",$794.05,"$3,350.13",$155.81,4.79,$199.53,1.38,$122.26,0.61,$14.52,0.03,$289.35,4.359,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,500","4,050 ",$803.85,"$3,449.51",$157.83,4.83,$203.57,1.40,$125.17,0.62,$15.28,0.03,$295.47,4.405,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,600","4,007 ",$813.34,"$3,549.30",$159.89,4.87,$207.74,1.42,$128.10,0.63,$16.09,0.03,$301.47,4.450,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$3,700","3,820 ",$822.53,"$3,650.53",$161.78,4.90,$211.73,1.44,$130.97,0.64,$16.96,0.03,$307.40,4.494,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
