,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,11,5806.03,5383.78,5691.99,6058.72,5405.06,5819.92,5692.69,5629.69,1975.79,1975.97,1978.56,1980.92,5304.80,5907.75,5533.51,5613.13,5594.62,5675.03,5828.07,5906.09,1979.00,1984.29,1990.41,1981.37,5462.91,5677.62,5938.90,5910.49,5694.63,5785.32,6017.59,6307.35,1975.66,1988.82,1987.42,1980.50,5637.03,5710.20,5337.79,5825.62,5905.84,6496.14,1971.55,1978.63,1974.58,1976.87,1974.87,1983.39,5663.40,5785.39,5494.42,5557.67,6041.09,6360.20,1971.17,1977.50,1970.21,1982.82,1974.98,1978.18,5557.03,5552.93,5557.07,5692.74,5784.92,5852.80,1972.65,1968.89,1969.83,1978.21,1986.51,1975.38,5601.75,5178.53,5554.40,5549.92,1974.24,1982.83,1981.68,1971.10,1974.34,1980.54,1974.86,1983.71,5852.33,5461.51,5223.87,5045.16,1970.35,1969.53,1973.98,1968.50,1972.84,1973.34,1973.61,1977.32
,12,5819.22,5356.01,5674.40,6047.48,5418.25,5818.11,5703.09,5619.40,1973.96,1978.39,1979.36,1979.40,5298.95,5881.71,5520.94,5603.78,5613.01,5694.59,5835.27,5906.08,1978.57,1981.07,1992.53,1980.76,5458.57,5671.50,5916.51,5887.25,5690.40,5775.18,6012.43,6329.89,1979.70,1987.26,1987.81,1983.16,5632.29,5714.61,5342.33,5818.61,5906.40,6518.49,1973.91,1978.04,1975.66,1976.27,1979.27,1978.64,5649.66,5772.61,5483.37,5543.80,6041.65,6365.68,1972.03,1977.02,1970.20,1982.80,1977.74,1976.95,5540.20,5569.13,5542.14,5686.90,5783.34,5861.60,1975.82,1974.82,1974.35,1981.87,1987.57,1974.61,5594.81,5167.06,5545.91,5549.93,1972.80,1979.14,1986.39,1974.62,1970.05,1984.92,1979.89,1980.99,5840.17,5449.98,5219.52,5045.23,1973.79,1972.25,1973.56,1968.57,1971.07,1975.22,1977.21,1978.17
,13,5815.85,5353.28,5664.27,6037.30,5406.34,5792.39,5672.34,5628.20,1976.11,1982.12,1979.21,1978.82,5290.64,5867.96,5510.75,5593.57,5597.18,5664.64,5853.96,5864.87,1978.77,1983.43,1991.70,1981.84,5445.05,5672.72,5901.53,5889.80,5681.17,5772.35,6002.81,6323.55,1976.83,1988.48,1986.44,1979.70,5620.94,5705.21,5334.22,5798.69,5915.36,6485.21,1974.63,1977.58,1977.36,1976.85,1979.19,1983.18,5647.90,5771.99,5483.10,5550.60,6036.47,6356.03,1971.00,1976.23,1975.72,1981.52,1975.47,1980.81,5536.02,5539.17,5523.64,5669.38,5790.98,5850.06,1978.15,1971.89,1976.17,1981.30,1991.69,1977.17,5577.62,5160.27,5545.48,5541.28,1973.84,1980.68,1980.61,1968.55,1974.39,1981.92,1978.64,1982.83,5840.88,5451.27,5210.11,5028.75,1973.58,1973.51,1973.53,1972.63,1970.09,1972.74,1977.05,1977.41
,14,5810.67,5353.13,5662.54,6035.11,5383.38,5789.81,5670.57,5609.22,1974.33,1981.98,1980.22,1978.98,5285.46,5875.79,5531.83,5578.05,5595.39,5657.84,5841.83,5869.15,1979.57,1985.29,1988.00,1978.48,5438.45,5664.82,5906.81,5886.54,5676.35,5753.76,5978.30,6313.93,1978.05,1985.55,1986.11,1981.29,5623.51,5683.68,5324.85,5809.01,5879.47,6500.80,1972.63,1976.96,1977.48,1978.84,1979.71,1982.57,5645.38,5757.24,5482.22,5546.65,6020.86,6350.07,1972.67,1974.45,1972.35,1977.56,1977.35,1976.65,5526.38,5537.81,5538.70,5680.12,5762.23,5824.96,1975.73,1972.35,1972.75,1981.60,1990.02,1975.28,5568.50,5160.21,5539.44,5530.98,1972.71,1984.24,1985.46,1973.10,1972.99,1981.77,1978.54,1985.39,5843.17,5440.27,5203.25,5029.89,1973.21,1974.43,1973.22,1971.65,1969.96,1972.29,1972.46,1978.89
,15,5814.32,5359.53,5652.43,6034.44,5391.33,5792.72,5643.49,5592.80,1975.05,1981.50,1979.63,1978.00,5281.71,5887.03,5521.88,5572.95,5586.96,5662.47,5822.48,5900.73,1978.25,1984.41,1993.76,1979.67,5429.46,5658.17,5899.48,5878.13,5664.81,5756.70,5964.72,6300.62,1982.32,1991.25,1988.98,1984.01,5615.80,5689.46,5313.82,5790.84,5894.35,6466.15,1973.49,1977.64,1977.43,1974.71,1977.75,1982.96,5641.04,5757.01,5477.83,5542.49,6027.87,6350.36,1971.32,1977.61,1975.25,1982.24,1975.97,1982.84,5505.54,5538.85,5529.53,5655.05,5773.54,5843.90,1974.81,1976.88,1971.67,1983.86,1988.46,1977.33,5559.14,5153.02,5541.50,5530.67,1975.77,1983.98,1986.89,1971.59,1974.42,1986.03,1979.91,1984.40,5826.94,5440.16,5192.58,5041.88,1971.64,1973.29,1973.10,1971.45,1975.25,1973.73,1972.79,1979.06
,16,5791.48,5353.26,5644.69,6026.45,5380.83,5770.13,5637.35,5583.22,1973.94,1981.66,1978.46,1979.94,5273.93,5864.07,5508.25,5586.08,5553.27,5647.86,5824.62,5850.61,1983.88,1985.29,1991.89,1980.71,5422.57,5653.49,5889.18,5872.68,5654.28,5745.05,5958.93,6295.78,1978.42,1986.80,1987.50,1980.29,5588.15,5683.66,5299.72,5797.34,5888.58,6471.45,1972.18,1978.58,1977.51,1979.54,1978.39,1983.53,5636.39,5748.73,5467.96,5525.31,6008.68,6337.05,1973.39,1973.64,1969.53,1985.72,1976.28,1984.89,5499.60,5527.91,5508.90,5663.17,5772.21,5808.81,1977.13,1972.43,1980.14,1986.27,1991.51,1976.55,5558.27,5137.32,5517.76,5514.20,1976.39,1982.79,1986.58,1971.65,1974.32,1986.62,1981.38,1985.35,5832.56,5427.98,5193.44,5011.49,1970.98,1974.79,1974.42,1972.35,1973.33,1975.81,1975.60,1981.43
,17,5787.58,5338.70,5638.92,6001.56,5360.03,5767.53,5641.17,5588.85,1977.86,1981.99,1980.72,1982.52,5256.28,5842.30,5519.86,5558.01,5559.94,5633.06,5814.14,5842.65,1981.53,1988.94,1992.51,1983.72,5424.83,5635.33,5872.07,5875.59,5649.96,5735.14,5967.07,6278.72,1980.51,1990.28,1987.96,1985.74,5593.45,5668.53,5310.84,5774.63,5870.91,6458.98,1977.94,1977.80,1975.62,1980.85,1978.30,1984.01,5625.76,5728.62,5464.51,5505.49,6000.25,6304.91,1971.02,1978.32,1973.89,1984.54,1975.68,1984.18,5502.94,5519.99,5527.47,5641.97,5765.46,5821.49,1977.11,1974.12,1974.83,1984.11,1989.74,1980.33,5547.14,5135.70,5511.36,5502.68,1976.16,1985.33,1984.35,1973.91,1974.34,1983.59,1980.43,1984.14,5831.99,5428.66,5178.82,5015.98,1977.56,1976.02,1973.06,1976.78,1970.46,1975.55,1978.50,1979.63
,18,5789.61,5331.97,5604.41,5992.18,5368.60,5754.08,5612.18,5577.90,1976.21,1982.89,1982.48,1980.22,5265.40,5860.00,5523.35,5573.81,5566.45,5640.87,5798.21,5835.92,1981.84,1986.51,1994.29,1985.50,5410.19,5635.84,5861.77,5852.60,5646.22,5726.21,5976.37,6281.13,1984.84,1989.91,1989.79,1983.98,5607.97,5652.93,5296.37,5774.77,5893.81,6473.45,1976.01,1979.93,1978.54,1982.99,1976.89,1981.64,5619.60,5728.32,5463.10,5510.92,5978.30,6306.84,1978.10,1980.28,1975.58,1985.11,1982.11,1980.29,5502.58,5513.53,5509.91,5645.10,5754.35,5800.29,1978.44,1976.65,1972.25,1984.65,1990.51,1981.15,5547.14,5130.54,5506.13,5492.15,1981.51,1986.72,1989.00,1974.87,1975.88,1985.91,1981.47,1986.48,5827.31,5418.29,5166.46,5004.92,1974.82,1978.45,1972.00,1973.36,1973.33,1974.37,1977.13,1979.79
,19,5781.57,5322.76,5612.01,6007.08,5358.97,5727.45,5610.36,5564.78,1978.61,1981.86,1982.21,1983.01,5248.24,5824.80,5489.23,5556.15,5566.64,5617.84,5783.26,5819.92,1982.62,1987.63,1996.88,1985.70,5423.28,5641.43,5848.90,5844.52,5639.13,5715.20,5964.78,6271.56,1980.44,1990.07,1989.45,1982.95,5590.87,5673.31,5284.13,5760.18,5860.69,6450.71,1977.66,1975.49,1977.85,1984.27,1980.83,1981.22,5619.86,5727.36,5460.23,5505.24,5975.97,6305.93,1977.34,1980.36,1974.17,1984.43,1978.57,1986.87,5498.76,5504.37,5509.64,5647.36,5765.24,5797.46,1976.47,1976.48,1977.12,1987.08,1995.24,1978.90,5533.77,5128.49,5492.67,5484.82,1977.60,1988.15,1992.11,1973.72,1979.61,1990.46,1985.05,1986.90,5824.99,5429.73,5169.48,5004.48,1975.79,1980.53,1976.89,1973.82,1974.10,1977.42,1980.44,1982.32
,20,5771.51,5304.98,5601.23,5951.53,5333.76,5734.21,5605.35,5540.13,1978.72,1984.29,1983.94,1981.80,5259.33,5826.81,5493.26,5520.32,5525.59,5608.86,5794.59,5823.08,1979.93,1985.33,1991.86,1986.77,5404.79,5620.04,5825.73,5811.07,5619.01,5706.38,5955.29,6264.82,1982.24,1989.92,1989.18,1986.88,5587.00,5662.82,5266.20,5747.12,5841.99,6429.25,1976.68,1981.34,1978.52,1982.40,1983.95,1985.06,5606.25,5716.58,5431.96,5500.11,5971.48,6274.29,1973.80,1979.13,1977.85,1991.05,1983.08,1983.30,5494.88,5511.41,5450.55,5611.96,5737.16,5790.93,1978.49,1974.81,1974.49,1982.52,1992.40,1978.65,5541.61,5119.43,5478.37,5462.04,1979.56,1985.59,1990.46,1974.71,1977.89,1988.88,1981.69,1987.74,5810.69,5415.89,5159.74,4990.16,1973.78,1973.17,1972.69,1974.72,1971.15,1974.87,1978.77,1982.31
,21,5746.77,5294.28,5568.28,5938.86,5295.96,5692.15,5558.97,5505.37,1977.00,1980.14,1985.23,1982.56,5246.50,5822.51,5470.09,5537.24,5515.30,5565.65,5748.09,5804.81,1987.49,1984.48,1992.71,1987.82,5391.10,5612.14,5797.39,5777.34,5602.54,5688.95,5938.04,6206.57,1981.42,1993.49,1987.98,1983.39,5564.44,5651.11,5247.98,5712.81,5808.38,6392.35,1979.92,1978.17,1977.52,1981.52,1984.54,1983.13,5603.97,5720.50,5415.99,5483.31,5936.67,6261.33,1975.30,1978.10,1976.60,1985.33,1979.30,1985.81,5490.92,5501.71,5447.64,5587.62,5698.20,5771.21,1977.45,1977.55,1974.92,1986.53,1996.50,1982.89,5533.92,5111.10,5453.78,5437.43,1976.79,1983.39,1987.94,1976.55,1979.44,1991.29,1982.97,1988.64,5810.46,5402.97,5128.47,4981.77,1974.48,1978.64,1975.23,1977.08,1973.52,1975.13,1979.04,1983.28
,22,5728.12,5263.25,5519.01,5872.09,5241.36,5637.41,5528.86,5433.23,1978.05,1983.67,1981.86,1980.17,5237.85,5813.49,5433.78,5500.48,5446.63,5525.58,5694.70,5719.17,1987.35,1989.84,1996.63,1984.67,5392.47,5600.69,5767.61,5720.80,5580.67,5654.90,5897.79,6188.43,1985.04,1993.17,1992.12,1987.25,5570.79,5646.13,5201.91,5679.26,5749.95,6312.51,1979.01,1981.30,1981.86,1983.09,1982.15,1982.87,5600.60,5705.56,5393.86,5441.08,5878.39,6198.48,1975.64,1980.72,1974.89,1989.51,1981.99,1989.05,5493.01,5500.37,5381.71,5536.41,5689.42,5754.06,1978.21,1979.00,1981.02,1988.93,1994.36,1980.66,5525.12,5104.51,5406.78,5394.69,1978.77,1988.84,1995.30,1976.77,1978.66,1989.68,1981.73,1988.03,5792.44,5408.56,5100.31,4956.82,1976.48,1975.41,1973.77,1975.43,1976.71,1975.62,1983.83,1977.65
,23,5663.57,5227.86,5433.55,5793.03,5155.15,5542.16,5407.95,5343.52,1977.39,1983.84,1983.44,1983.03,5224.18,5797.84,5359.69,5462.42,5393.20,5474.23,5606.81,5653.30,1985.85,1988.01,1997.86,1983.23,5394.99,5597.50,5649.91,5617.38,5524.32,5603.91,5835.59,6135.94,1985.70,1989.61,1994.05,1987.29,5553.94,5644.35,5135.18,5587.42,5628.20,6222.36,1981.77,1982.51,1984.16,1983.49,1982.74,1985.35,5594.26,5697.38,5348.75,5394.64,5783.57,6112.79,1977.91,1981.98,1977.83,1989.52,1983.44,1986.84,5482.44,5490.67,5278.72,5421.04,5641.86,5684.37,1978.19,1976.06,1980.20,1988.25,1996.49,1983.66,5526.61,5107.87,5325.17,5315.59,1981.57,1986.12,1992.21,1978.88,1977.49,1988.64,1981.34,1990.17,5806.52,5398.36,5051.69,4912.98,1975.61,1977.36,1978.66,1976.11,1975.91,1979.41,1981.67,1983.54
,24,5557.20,5174.97,5290.50,5650.47,4987.75,5398.60,5228.80,5158.67,1978.88,1982.33,1982.14,1982.21,5210.10,5773.21,5256.49,5387.06,5242.51,5332.03,5470.94,5510.88,1988.38,1988.73,1996.40,1986.65,5386.15,5586.14,5464.27,5441.54,5438.49,5501.88,5739.41,6040.19,1982.16,1995.58,1992.58,1987.96,5553.36,5634.85,5018.19,5445.85,5430.54,6023.27,1976.15,1982.82,1980.28,1980.56,1984.44,1984.49,5602.84,5691.29,5251.17,5296.12,5634.60,5969.23,1976.59,1978.66,1975.98,1985.98,1981.69,1986.24,5471.66,5489.29,5106.87,5232.49,5549.74,5578.93,1978.49,1978.87,1978.05,1987.57,1998.21,1987.80,5517.04,5102.12,5195.40,5182.98,1978.06,1988.95,1992.43,1975.66,1984.44,1991.57,1986.37,1990.21,5808.25,5405.30,4977.55,4821.48,1976.11,1976.47,1973.46,1976.59,1975.00,1977.78,1978.81,1985.68
,25,5408.78,5019.05,5037.92,5434.25,4730.36,5149.94,4963.51,4889.58,1981.71,1982.33,1984.95,1984.20,5176.34,5724.91,5089.17,5263.31,5011.54,5098.36,5257.79,5284.18,1989.48,1988.53,2000.30,1987.36,5375.52,5579.38,5177.42,5152.13,5275.06,5336.99,5577.95,5838.66,1985.38,1991.86,1991.39,1986.07,5541.13,5629.29,4792.23,5228.43,5168.36,5720.32,1976.98,1985.35,1980.48,1982.89,1985.34,1991.40,5588.62,5690.22,5105.66,5135.80,5395.72,5724.08,1980.04,1980.30,1981.85,1988.40,1983.27,1984.07,5461.35,5490.58,4823.94,4972.30,5375.20,5440.55,1977.35,1979.72,1984.15,1989.47,2000.27,1984.74,5502.74,5096.85,4972.50,4967.27,1981.51,1991.70,1992.61,1979.83,1982.68,1991.89,1986.64,1990.53,5788.91,5400.98,4840.35,4699.09,1977.66,1980.43,1976.48,1979.65,1982.33,1980.56,1977.06,1984.72
,26,5147.77,4826.22,4749.40,5105.82,4414.29,4828.77,4616.67,4545.35,1978.57,1984.07,1984.33,1983.25,5108.23,5643.48,4807.48,5079.15,4700.17,4774.31,4901.35,4931.97,1984.27,1989.23,1997.64,1984.14,5348.86,5552.81,4805.05,4786.62,5029.65,5088.59,5317.27,5567.39,1986.31,1996.18,1993.96,1989.34,5545.06,5616.03,4512.63,4884.20,4787.68,5325.88,1982.02,1985.49,1982.48,1982.21,1986.17,1986.13,5583.24,5687.18,4870.04,4882.48,5140.73,5440.53,1979.42,1981.96,1981.89,1989.22,1986.45,1986.88,5465.43,5473.75,4487.47,4608.20,5124.16,5179.56,1984.99,1979.13,1982.64,1991.81,1997.22,1986.00,5495.32,5096.38,4714.59,4697.01,1982.73,1987.53,1992.60,1980.03,1982.97,1992.52,1984.43,1994.26,5800.08,5397.07,4619.88,4492.92,1979.29,1979.48,1981.44,1979.89,1979.45,1980.70,1984.19,1990.51
,27,4815.96,4551.51,4429.00,4741.95,4131.85,4481.51,4279.11,4210.67,1979.32,1985.09,1983.33,1985.02,5001.82,5535.66,4493.84,4768.31,4375.03,4434.36,4590.56,4600.37,1988.67,1988.35,1997.65,1985.35,5324.63,5523.28,4453.91,4436.10,4699.73,4733.94,4947.33,5196.49,1987.40,1991.42,1991.27,1991.16,5529.05,5624.15,4214.60,4518.05,4441.67,4912.10,1984.06,1984.37,1984.26,1986.64,1985.00,1988.85,5575.53,5679.95,4554.86,4556.47,4918.50,5188.70,1981.79,1982.07,1979.07,1991.11,1985.05,1989.54,5461.58,5475.93,4159.46,4276.70,4775.00,4826.07,1985.89,1982.12,1978.91,1989.55,2001.05,1984.40,5492.00,5084.85,4478.22,4479.25,1981.55,1989.89,1995.71,1980.01,1983.42,1993.29,1986.52,1993.27,5785.87,5398.93,4312.28,4196.98,1977.42,1982.60,1980.55,1979.87,1977.28,1981.63,1982.81,1986.83
,28,4492.90,4235.94,4164.26,4450.90,3865.29,4185.26,3991.84,3951.74,1979.26,1985.75,1986.00,1985.21,4820.64,5285.28,4170.58,4443.62,4067.45,4124.63,4285.20,4292.87,1989.72,1991.88,1997.02,1984.85,5269.39,5471.60,4157.65,4136.14,4362.71,4406.64,4595.41,4791.43,1987.67,1995.20,1994.39,1988.73,5525.05,5604.63,3931.49,4211.95,4151.24,4565.74,1982.93,1984.52,1982.72,1983.44,1988.46,1990.85,5573.03,5658.10,4235.80,4246.68,4694.43,4948.84,1980.49,1986.98,1984.28,1989.69,1985.56,1991.24,5474.47,5479.17,3868.77,3961.70,4438.21,4479.86,1984.75,1982.82,1984.46,1990.35,1999.70,1982.68,5493.49,5083.97,4275.95,4273.46,1985.20,1994.29,1999.75,1982.13,1982.96,1993.03,1986.37,1994.84,5774.66,5381.31,3999.87,3894.35,1980.21,1979.33,1977.07,1981.50,1978.48,1981.61,1982.99,1986.16
