UNFI,NB,UPC,Long Description,12 UPC,Amy's Category,SCH Category,Pack,Size
DC,DC,42272-00120,Spinach Feta Snacks,0-42272-00120-0,Snacks,Convenience,12,6 OZ
77336,032-458,42272-00161,Brown Rice & Vegetables Bowl,0-42272-00161-3,Bowls,Entrée,12,10 OZ
77337,031-351,42272-00121,Cheese Pizza Snacks,0-42272-00121-7,Snacks,Convenience,12,6 OZ
77338,032-466,42272-00082,Santa Fe Enchilada Bowl,0-42272-00082-1,Bowls,Entrée,12,10 OZ
77339,032-474,42272-00178,Stuffed Pasta Shells Bowl,0-42272-00178-1,Bowls,Entrée,12,10 OZ
77340,032-482,42272-00160,Teriyaki Bowl,0-42272-00160-6,Bowls,Entrée,12,10 OZ
77341,030-601,42272-00073,Black Bean & Vegetable Burrito,0-42272-00073-9,Burritos,Convenience,12,6 OZ
77342,030-197,42272-00012,Chicago Burger,0-42272-00012-8,Burgers,Meatless/Burger,12,10 OZ
77343,033-688,42272-00250,Vegetable Korma,0-42272-00250-4,Indian Meals ,Entrée,12,9.5 OZ
77344,033-696,42272-00251,Mattar Tofu,0-42272-00251-1,Indian Meals ,Entrée,12,9.5 OZ
77345,033-704,42272-00076,Soutwestern Burrito,0-42272-00076-0,Burritos,Convenience,12,6 OZ
DC,DC,42272-00192,Mediterranean Cornmeal Crust Pizza,0-42272-00192-7,Pizzas,Pizza,8,17.5 OZ
77209,035-840,42272-00182,Cheese Pizza Toaster Pops,0-42272-00182-8,Toaster Pops,Breakfast,12,8.5 OZ
77208,035-824,42272-00183,Apple Toaster Pops,0-42272-00183-5,Toaster Pops,Breakfast,12,8.5 OZ
77207,035-832,42272-00184,Strawberry  Toaster Pops,0-42272-00184-2,Toaster Pops,Breakfast,12,8.5 OZ
77351,030-627,42272-00010,California Burger,0-42272-00010-4,Burgers,Meatless/Burger,12,10 OZ
77352,030-536,42272-00031,Apple Pie,0-42272-00031-9,Desserts,Dessert,12,8 OZ
77353,030-650,42272-00080,Cheese Enchilada,0-42272-00080-7,Enchilada,Entrée,12,9 OZ
77354,030-668,42272-00030,Macaroni & Cheese,0-42272-00030-2,Mac & Cheese,Entrée,12,9 OZ
77355,030-676,42272-00040,Macaroni & Soy Cheese,0-42272-00040-1,Mac & Cheese,Entrée,12,9 OZ
77356,030-684,42272-00021,Broccoli Pot Pie,0-42272-00021-0,Pot Pies,Entrée,12,7.5 OZ
77357,030-643,42272-00081,Black Bean Enchilada,0-42272-00081-4,Enchilada,Entrée,12,9.5 OZ
77358,030-742,42272-00020,Vegetable Pot Pie,0-42272-00020-3,Pot Pies,Entrée,12,7.5 OZ
77359,032-607,42272-00041,Garden Vegetable Lasagna,0-42272-00041-8,Lasagna,Entrée,12,10.25 OZ
77360,031-435,42272-00050,Country Dinner Whole Meal,0-42272-00050-0,Whole Meals,Entrée,12,11 OZ
77361,838-532,42272-00051,Black Bean Enchilada Whole Meal,0-42272-00051-7,Whole Meals,Entrée,12,10 OZ
77362,030-718,42272-00022,Mexican Pot Pie,0-42272-00022-7,Pot Pies,Entrée,12,8 OZ
77363,030-734,42272-00032,Vegetable Lasagna,0-42272-00032-6,Lasagna,Entrée,12,9.5 OZ
77365,030-726,42272-00033,Tofu Vegetable Lasagna,0-42272-00033-3,Lasagna,Entrée,12,9.5 OZ
77366,030-692,42272-00070,Bean & Rice - Non Dairy Burrito,0-42272-00070-8,Burritos,Convenience,12,6 OZ
77367,030-700,42272-00071,Bean & Cheese Burrito,0-42272-00071-5,Burritos,Convenience,12,6 OZ
77368,030-817,42272-00075,Cheese Pizza Pocket,0-42272-00075-3,Pocket Sandwiches ,Convenience,12,4.5 OZ
77369,030-767,42272-00023,Shepard's Pot Pie,0-42272-00023-4,Pot Pies,Entrée,12,8 OZ
77372,033-266,42272-00059,Palak Paneer,0-42272-00059-3,Indian Meals ,Entrée,12,10 OZ
77373,033-274,42272-00124,Spinach Pizza Snacks,0-42272-00124-8,Snacks,Convenience,12,6 OZ
77375,030-288,42272-00053,Veggie Loaf Whole Meal,0-42272-00053-1,Whole Meals,Entrée,12,10 OZ
77376,032-656,42272-00058,Mattar Paneer,0-42272-00058-6,Indian Meals ,Entrée,12,10 OZ
77377,030-619,42272-00072,Breakfast Burrito,0-42272-00072-2,Burritos,Convenience,12,6 OZ
77379,031-898,42272-00015,All American Burger,0-42272-00015-9,Burgers,Meatless/Burger,12,10 OZ
77384,030-338,42272-00026,Non Dairy Vegetable Pot Pie,0-42272-00026-5,Pot Pies,Entrée,12,7.5 OZ
77390,034-462,42272-00168,Tortilla Casserole & Black Beans Bowl,0-42272-00168-2,Bowls,Entrée,12,9.5 oz
77391,034-504,42272-00199,Margherita Pizza,0-42272-00199-6,Pizzas,Pizza,8,11 oz
77623,033-902,42272-00193,Rice Crust Spinach Pizza,0-42272-00193-4,Pizzas,Pizza,8,14 OZ
77625,033-936,42272-00261,Indian Spinach Tofu Wrap,0-42272-00261-0,Burritos,Convenience,12,5.5 OZ
